realization,time,region,value,ci_name,ci_frequency,ci_package_name,ci_package_reference,standard_name,units
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1973-07-15,WASCAL,298.5135,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1974-07-15,WASCAL,298.52136,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1975-07-15,WASCAL,297.9127,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1976-07-15,WASCAL,298.77222,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1977-07-15,WASCAL,298.91937,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1978-07-15,WASCAL,298.60178,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1979-07-15,WASCAL,298.65433,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1980-07-15,WASCAL,298.2912,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1981-07-15,WASCAL,298.15057,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1982-07-15,WASCAL,297.85028,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
